date,id,camera,depth,timeStart,timePulled
10/15/2020,C1-1,Kevin,22,9:56,11:54
10/15/2020,C1-2,Marcu,22,10:01,11:52
10/15/2020,C2-1,ZC,22,10:11,12:00
10/15/2020,C2-2,Haley,22,10:16,12:03
10/15/2020,Z1-1,CREP REU 2,18,10:48,12:46
10/15/2020,Z1-2,Restoration,19,10:54,12:46
10/15/2020,Z2-2,Nowicki,19,11:07,12:54
10/15/2020,Z2-2,CREP REU 1,19,11:13,12:57
10/14/2020,U1-1,Nowicki,21,10:06,12:09
10/14/2020,U1-2,ZC,21,10:04,12:09
10/15/2020,U2-1,Kevin,24,10:20,12:22
10/15/2020,U2-2,Marcus,22,10:24,12:20
